Series ID,Year,Period,Label,Value
APU000074714,2020,M01,2020 Jan,2.567
APU000074714,2020,M02,2020 Feb,2.465
APU000074714,2020,M03,2020 Mar,2.267
APU000074714,2020,M04,2020 Apr,1.876
APU000074714,2020,M05,2020 May,1.879
APU000074714,2020,M06,2020 Jun,2.076
APU000074714,2020,M07,2020 Jul,2.176
APU000074714,2020,M08,2020 Aug,2.177
APU000074714,2020,M09,2020 Sep,2.193
APU000074714,2020,M10,2020 Oct,2.159
APU000074714,2020,M11,2020 Nov,2.090
APU000074714,2020,M12,2020 Dec,2.168
APU000074714,2021,M01,2021 Jan,2.326
APU000074714,2021,M02,2021 Feb,2.496
APU000074714,2021,M03,2021 Mar,2.791
APU000074714,2021,M04,2021 Apr,2.839
APU000074714,2021,M05,2021 May,2.972
APU000074714,2021,M06,2021 Jun,3.154
APU000074714,2021,M07,2021 Jul,3.233
APU000074714,2021,M08,2021 Aug,3.255
APU000074714,2021,M09,2021 Sep,3.265
APU000074714,2021,M10,2021 Oct,3.385
APU000074714,2021,M11,2021 Nov,3.482
APU000074714,2021,M12,2021 Dec,3.408
APU000074714,2022,M01,2022 Jan,3.413
APU000074714,2022,M02,2022 Feb,3.592
APU000074714,2022,M03,2022 Mar,4.312
APU000074714,2022,M04,2022 Apr,4.271
APU000074714,2022,M05,2022 May,4.604
APU000074714,2022,M06,2022 Jun,5.058
APU000074714,2022,M07,2022 Jul,4.667
APU000074714,2022,M08,2022 Aug,4.101
APU000074714,2022,M09,2022 Sep,3.881
APU000074714,2022,M10,2022 Oct,4.016
APU000074714,2022,M11,2022 Nov,3.853
APU000074714,2022,M12,2022 Dec,3.356
APU000074714,2023,M01,2023 Jan,3.452
APU000074714,2023,M02,2023 Feb,3.514
APU000074714,2023,M03,2023 Mar,3.551
APU000074714,2023,M04,2023 Apr,3.735
APU000074714,2023,M05,2023 May,3.685
APU000074714,2023,M06,2023 Jun,3.712
APU000074714,2023,M07,2023 Jul,3.732
APU000074714,2023,M08,2023 Aug,3.955
